time,q_cmd,q_meas,theta_cmd,theta_meas
0.005,0,0,0,0
0.01,0,0,0,0
0.015,0,0,0,0
0.02,0,0,0,0
0.025,0,0,0,0
0.03,0,0,0,0
0.035,0,-0.0191794,0.00942305,-0.0191794
0.04,0,-0.0191794,0.00916666,-0.0191794
0.045,0,-0.0191794,0.00894888,-0.0191794
0.05,0,-0.0191794,0.00876636,-0.0191794
0.055,0,-0.0191794,0.00861609,-0.0191794
0.06,0,-0.0191794,0.00849528,-0.0191794
0.065,0,-0.0176451,0.00764755,-0.0176451
0.07,0,-0.0176451,0.00759878,-0.0176451
0.075,0,-0.0176451,0.00756941,-0.0176451
0.08,0,-0.0176451,0.00755777,-0.0176451
0.085,0,-0.0176451,0.00756233,-0.0176451
0.09,0,-0.0176451,0.00758169,-0.0176451
0.095,0,-0.0176451,0.00761459,-0.0176451
0.1,0,-0.00997331,0.00389062,-0.00997331
0.105,0,-0.00997331,0.00404974,-0.00997331
0.11,0,-0.00997331,0.00420374,-0.00997331
0.115,0,-0.00997331,0.00435306,-0.00997331
0.12,0,-0.00997331,0.00449811,-0.00997331
0.125,0,-0.00997331,0.00463926,-0.00997331
0.13,0,-0.00383589,0.00176147,-0.00383589
0.135,0,-0.00383589,0.00197784,-0.00383589
0.14,0,-0.00383589,0.00217887,-0.00383589
0.145,0,-0.00383589,0.0023659,-0.00383589
0.15,0,-0.00383589,0.00254012,-0.00383589
0.155,0,-0.00383589,0.00270264,-0.00383589
0.16,0,-0.00383589,0.00285446,-0.00383589
0.165,0,-0.000767178,0.00148883,-0.000767178
0.17,0,-0.000767178,0.00166297,-0.000767178
0.175,0,-0.000767178,0.00182277,-0.000767178
0.18,0,-0.000767178,0.00196948,-0.000767178
0.185,0,-0.000767178,0.0021042,-0.000767178
0.19,0,-0.000767178,0.00222799,-0.000767178
0.195,0,0.00230153,0.00083408,0.00230153
0.2,0,0.00230153,0.000979746,0.00230153
0.205,0,0.00230153,0.00111088,0.00230153
0.21,0,0.00230153,0.00122874,0.00230153
0.215,0,0.00230153,0.00133447,0.00230153
0.22,0,0.00230153,0.00142911,0.00230153
0.225,0,0.00383589,0.000759769,0.00383589
0.23,0,0.00383589,0.000855524,0.00383589
0.235,0,0.00383589,0.000939728,0.00383589
0.24,0,0.00383589,0.00101338,0.00383589
0.245,0,0.00383589,0.00107738,0.00383589
0.25,0,0.00383589,0.00113256,0.00383589
0.255,0,0.00383589,0.00117969,0.00383589
0.26,0,0.00383589,0.00121945,0.00383589
0.265,0,0.00383589,0.00125249,0.00383589
0.27,0,0.00383589,0.00127937,0.00383589
0.275,0,0.00383589,0.00130064,0.00383589
0.28,0,0.00383589,0.00131677,0.00383589
0.285,0,0.00383589,0.00132821,0.00383589
0.29,0,0.00383589,0.00133536,0.00383589
0.295,0,0.00383589,0.00133859,0.00383589
0.3,0,0.00383589,0.00133823,0.00383589
0.305,0,0.00383589,0.00133461,0.00383589
0.31,0,0.00383589,0.00132799,0.00383589
0.315,0,0.00383589,0.00131864,0.00383589
0.32,0,0.00383589,0.00130679,0.00383589
0.325,0,0.00230153,0.0020465,0.00230153
0.33,0,0.00230153,0.00200977,0.00230153
0.335,0,0.00230153,0.00197422,0.00230153
0.34,0,0.00230153,0.00193975,0.00230153
0.345,0,0.00230153,0.00190627,0.00230153
0.35,0,0.00230153,0.00187368,0.00230153
0.355,0,0.00230153,0.00184193,0.00230153
0.36,0,0.00230153,0.00181092,0.00230153
0.365,0,0.00230153,0.0017806,0.00230153
0.37,0,0.00230153,0.00175092,0.00230153
0.375,0,0.00230153,0.0017218,0.00230153
0.38,0,0.00230153,0.00169322,0.00230153
0.385,0,0.00230153,0.00166511,0.00230153
0.39,0,0.00230153,0.00163744,0.00230153
0.395,0,0.00230153,0.00161017,0.00230153
0.4,0,0.00230153,0.00158327,0.00230153
0.405,0,0.00230153,0.0015567,0.00230153
0.41,0,0.00230153,0.00153044,0.00230153
0.415,0,0.00230153,0.00150446,0.00230153
0.42,0,0.00230153,0.00147873,0.00230153
0.425,0,0.00230153,0.00145324,0.00230153
0.43,0,0.00230153,0.00142796,0.00230153
0.435,0,0.00230153,0.00140287,0.00230153
0.44,0,0.00230153,0.00137797,0.00230153
0.445,0,0.00230153,0.00135322,0.00230153
0.45,0,0.00230153,0.00132863,0.00230153
0.455,0,0.00230153,0.00130417,0.00230153
0.46,0,0.00230153,0.00127984,0.00230153
0.465,0,0.00230153,0.00125562,0.00230153
0.47,0,0.00230153,0.0012315,0.00230153
0.475,0,0.00230153,0.00120748,0.00230153
0.48,0,0.00230153,0.00118354,0.00230153
0.485,0,0.00230153,0.00115969,0.00230153
0.49,0,0.00230153,0.0011359,0.00230153
0.495,0,0.00230153,0.00111219,0.00230153
0.5,0,0.00230153,0.00108853,0.00230153
0.505,0,0.00230153,0.00106493,0.00230153
0.51,0,0.00230153,0.00104138,0.00230153
0.515,0,0.00230153,0.00101787,0.00230153
0.52,0,0.00230153,0.000994408,0.00230153
0.525,0,0.00230153,0.000970983,0.00230153
0.53,0,0.00230153,0.000947594,0.00230153
0.535,0,0.00230153,0.000924237,0.00230153
0.54,0,0.00230153,0.00090091,0.00230153
0.545,0,0.00230153,0.000877609,0.00230153
0.55,0,0.00230153,0.000854333,0.00230153
0.555,0,0.00230153,0.00083108,0.00230153
0.56,0,0.00230153,0.000807847,0.00230153
0.565,0,0.00230153,0.000784632,0.00230153
0.57,0,0.00230153,0.000761435,0.00230153
0.575,0,0.00230153,0.000738254,0.00230153
0.58,0,0.00230153,0.000715087,0.00230153
0.585,0,0.00230153,0.000691932,0.00230153
0.59,0,0.00230153,0.00066879,0.00230153
0.595,0,0.00230153,0.000645659,0.00230153
0.6,0,0.00230153,0.000622538,0.00230153
0.605,0,0.00230153,0.000599426,0.00230153
0.61,0,0.00230153,0.000576322,0.00230153
0.615,0,0.00230153,0.000553226,0.00230153
0.62,0,0.00230153,0.000530136,0.00230153
0.625,0,0.00230153,0.000507054,0.00230153
0.63,0,0.00230153,0.000483977,0.00230153
0.635,0,0.00230153,0.000460905,0.00230153
0.64,0,0.00230153,0.000437838,0.00230153
0.645,0,0.00230153,0.000414776,0.00230153
0.65,0,0.00230153,0.000391717,0.00230153
0.655,0,0.00230153,0.000368663,0.00230153
0.66,0,0.00230153,0.000345611,0.00230153
0.665,0,0.00230153,0.000322563,0.00230153
0.67,0,0.00230153,0.000299518,0.00230153
0.675,0,0.00230153,0.000276475,0.00230153
0.68,0,0.00230153,0.000253435,0.00230153
0.685,0,0.00230153,0.000230396,0.00230153
0.69,0,0.00230153,0.00020736,0.00230153
0.695,0,0.00230153,0.000184326,0.00230153
0.7,0,0.00230153,0.000161293,0.00230153
0.705,0,0.00230153,0.000138262,0.00230153
0.71,0,0.00230153,0.000115232,0.00230153
0.715,0,0.00230153,9.22029e-05,0.00230153
0.72,0,0.00230153,6.91754e-05,0.00230153
0.725,0,0.00230153,4.61489e-05,0.00230153
0.73,0,0.00230153,2.31234e-05,0.00230153
0.735,0,0.00230153,9.8759e-08,0.00230153
0.74,0,0.00230153,-2.29251e-05,0.00230153
0.745,0,0.00230153,-4.59482e-05,0.00230153
0.75,0,0.00230153,-6.89706e-05,0.00230153
0.755,0,0.00230153,-9.19924e-05,0.00230153
0.76,0,0.00230153,-0.000115014,0.00230153
0.765,0,0.00230153,-0.000138034,0.00230153
0.77,0,0.00230153,-0.000161055,0.00230153
0.775,0,0.00230153,-0.000184075,0.00230153
0.78,0,0.00230153,-0.000207094,0.00230153
0.785,0,0.00230153,-0.000230113,0.00230153
0.79,0,0.00230153,-0.000253132,0.00230153
0.795,0,0.00230153,-0.00027615,0.00230153
0.8,0,0.00230153,-0.000299169,0.00230153
0.805,0,0.00230153,-0.000322187,0.00230153
0.81,0,0.00230153,-0.000345204,0.00230153
0.815,0,0.00230153,-0.000368222,0.00230153
0.82,0,0.00230153,-0.000391239,0.00230153
0.825,0,0.00230153,-0.000414256,0.00230153
0.83,0,0.00230153,-0.000437273,0.00230153
0.835,0,0.00230153,-0.00046029,0.00230153
0.84,0,0.00230153,-0.000483307,0.00230153
0.845,0,0.00230153,-0.000506324,0.00230153
0.85,0,0.00230153,-0.00052934,0.00230153
0.855,0,0.00230153,-0.000552357,0.00230153
0.86,0,0.00230153,-0.000575373,0.00230153
0.865,0,0.00230153,-0.000598389,0.00230153
